type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cdn	4	河北	电信	he-ct-v4.ibsgss.uk	219.148.62.1	80	he-ct-v4.ip.zstaticcdn.com	bak.he-ct-v4.ibsgss.uk	144.7.111.241	80	he-xiongan-ct-v4.ip.zstaticcdn.com
cdn	6	河北	电信	he-ct-v6.ibsgss.uk	240e:b1:c802:0:8000:0:b00:98	80	he-ct-v6.ip.zstaticcdn.com	bak.he-ct-v6.ibsgss.uk		80	sjz-ct-v6.ip.zstaticcdn.com
cdn	4	河北	联通	he-cu-v4.ibsgss.uk	110.249.198.60	80	he-cu-v4.ip.zstaticcdn.com	bak.he-cu-v4.ibsgss.uk	120.52.92.249	80	he-langfang-cu-v4.ip.zstaticcdn.com
cdn	6	河北	联通	he-cu-v6.ibsgss.uk	2408:871a:4800:40f::b00:99	80	he-cu-v6.ip.zstaticcdn.com	bak.he-cu-v6.ibsgss.uk		80	sjz-cu-v6.ip.zstaticcdn.com
cdn	4	河北	移动	he-cm-v4.ibsgss.uk	111.62.113.1	80	he-cm-v4.ip.zstaticcdn.com	bak.he-cm-v4.ibsgss.uk		80	sjz-cm-v4.ip.zstaticcdn.com
cdn	6	河北	移动	he-cm-v6.ibsgss.uk	2409:8c04:1003:206:8000:0:b00:86	80	he-cm-v6.ip.zstaticcdn.com	bak.he-cm-v6.ibsgss.uk		80	sjz-cm-v6.ip.zstaticcdn.com
cdn	4	山西	电信	sx-ct-v4.ibsgss.uk	113.24.210.59	80	sx-ct-v4.ip.zstaticcdn.com	bak.sx-ct-v4.ibsgss.uk	1.71.6.232	80	sx-taiyuan-ct-v4.ip.zstaticcdn.com
cdn	6	山西	电信	sx-ct-v6.ibsgss.uk	240e:925:2:401:8000:0:b00:157	80	sx-ct-v6.ip.zstaticcdn.com	bak.sx-ct-v6.ibsgss.uk		80	ty-ct-v6.ip.zstaticcdn.com
cdn	4	山西	联通	sx-cu-v4.ibsgss.uk	121.30.176.170	80	sx-cu-v4.ip.zstaticcdn.com	bak.sx-cu-v4.ibsgss.uk	60.220.186.44	80	sx-changzhi-cu-v4.ip.zstaticcdn.com
cdn	6	山西	联通	sx-cu-v6.ibsgss.uk	2408:8726:5400:100:8000:0:b00:86	80	sx-cu-v6.ip.zstaticcdn.com	bak.sx-cu-v6.ibsgss.uk		80	ty-cu-v6.ip.zstaticcdn.com
cdn	4	山西	移动	sx-cm-v4.ibsgss.uk	183.201.125.189	80	sx-cm-v4.ip.zstaticcdn.com	bak.sx-cm-v4.ibsgss.uk		80	ty-cm-v4.ip.zstaticcdn.com
cdn	6	山西	移动	sx-cm-v6.ibsgss.uk	2409:8c0c:310:2401::b00:65	80	sx-cm-v6.ip.zstaticcdn.com	bak.sx-cm-v6.ibsgss.uk		80	ty-cm-v6.ip.zstaticcdn.com
cdn	4	辽宁	电信	ln-ct-v4.ibsgss.uk	42.202.173.160	80	ln-ct-v4.ip.zstaticcdn.com	bak.ln-ct-v4.ibsgss.uk	123.187.241.248	80	ln-liaoyang-ct-v4.ip.zstaticcdn.com
cdn	6	辽宁	电信	ln-ct-v6.ibsgss.uk	240e:90d:1101:450f:8000:0:b00:3	80	ln-ct-v6.ip.zstaticcdn.com	bak.ln-ct-v6.ibsgss.uk		80	sy-ct-v6.ip.zstaticcdn.com
cdn	4	辽宁	联通	ln-cu-v4.ibsgss.uk	42.59.0.146	80	ln-cu-v4.ip.zstaticcdn.com	bak.ln-cu-v4.ibsgss.uk	123.188.232.40	80	ln-chaoyang-cu-v4.ip.zstaticcdn.com
cdn	6	辽宁	联通	ln-cu-v6.ibsgss.uk	2408:8630:20b0:3:8000:0:b00:227	80	ln-cu-v6.ip.zstaticcdn.com	bak.ln-cu-v6.ibsgss.uk		80	sy-cu-v6.ip.zstaticcdn.com
cdn	4	辽宁	移动	ln-cm-v4.ibsgss.uk	120.201.244.218	80	ln-cm-v4.ip.zstaticcdn.com	bak.ln-cm-v4.ibsgss.uk	221.180.166.1	80	ln.10086.cn
