type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cernet	4	河北	CERNET	cernet-he-v4.ibsgss.uk	115.24.175.50	443	www.hebut.edu.cn				
cernet2	6	河北	CERNET2	cernet2-he-v6.ibsgss.uk	2001:250:405:12::50	443	www.hebut.edu.cn				
cernet	4	山西	CERNET	cernet-sx-v4.ibsgss.uk	202.207.240.104	443	www.tyut.edu.cn				
cernet2	6	山西	CERNET2	cernet2-sx-v6.ibsgss.uk	2001:250:c01:5000:cacf:f068::	443	www.tyut.edu.cn				
cernet	4	辽宁	CERNET	cernet-ln-v4.ibsgss.uk	202.118.76.222	443	www.dlut.edu.cn				
cernet2	6	辽宁	CERNET2	cernet2-ln-v6.ibsgss.uk	2001:da8:a800:7::222	443	www.dlut.edu.cn				
cernet	4	吉林	CERNET	cernet-jl-v4.ibsgss.uk	202.198.16.83	443	www.jlu.edu.cn				
cernet2	6	吉林	CERNET2	cernet2-jl-v6.ibsgss.uk	2001:da8:b000::80	443	www.jlu.edu.cn				
cernet	4	黑龙江	CERNET	cernet-hl-v4.ibsgss.uk	202.118.254.135	443	www.hit.edu.cn				
cernet2	6	黑龙江	CERNET2	cernet2-hl-v6.ibsgss.uk	2001:da8:b800:253::c0a8:3208	443	www.hit.edu.cn				
cernet	4	江苏	CERNET	cernet-js-v4.ibsgss.uk	202.119.32.7	443	www.nju.edu.cn				
cernet2	6	江苏	CERNET2	cernet2-js-v6.ibsgss.uk	2001:da8:1007::9999	443	www.nju.edu.cn				
cernet	4	浙江	CERNET	cernet-zj-v4.ibsgss.uk	210.33.16.1	443	www.nbu.edu.cn				
cernet2	6	浙江	CERNET2	cernet2-zj-v6.ibsgss.uk	2001:da8:e028:1000::122	443	www.nbu.edu.cn				
cernet	4	安徽	CERNET	cernet-ah-v4.ibsgss.uk	210.45.240.198	443	www.hfut.edu.cn	bak.cernet-ah-v4.ibsgss.uk	210.45.96.212	443	www.ahmu.edu.cn
cernet2	6	安徽	CERNET2	cernet2-ah-v6.ibsgss.uk	2001:250:5401:160::55	443	www.ahu.edu.cn	bak.cernet2-ah-v6.ibsgss.uk	2001:da8:d813:195::72	443	www.ahnu.edu.cn
cernet	4	福建	CERNET	cernet-fj-v4.ibsgss.uk	219.229.81.211	443	www.xmu.edu.cn				
cernet2	6	福建	CERNET2	cernet2-fj-v6.ibsgss.uk	2001:da8:e800:251c::211	443	www.xmu.edu.cn				
cernet	4	江西	CERNET	cernet-jx-v4.ibsgss.uk	219.229.232.50	443	www.jxust.edu.cn				
cernet2	6	江西	CERNET2	cernet2-jx-v6.ibsgss.uk	2001:250:6c0b:6010::10:50	443	www.jxust.edu.cn				
cernet	4	山东	CERNET	cernet-sd-v4.ibsgss.uk	202.194.7.118	443	www.sdu.edu.cn				
cernet2	6	山东	CERNET2	cernet2-sd-v6.ibsgss.uk	2001:da8:7000:7:202:194:7:118	443	www.sdu.edu.cn				
cernet	4	河南	CERNET	cernet-ha-v4.ibsgss.uk	202.196.64.48	443	www.zzu.edu.cn				
cernet2	6	河南	CERNET2	cernet2-ha-v6.ibsgss.uk	2001:da8:5000:6c00::47	443	www.zzu.edu.cn				
cernet	4	湖北	CERNET	cernet-hb-v4.ibsgss.uk	115.156.123.19	443	www.whu.edu.cn				
