type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cdn	6	河北	电信	he-ct-v6.ibsgss.uk	240e:b1:c802:0:8000:0:b00:99	80	he-ct-v6.ip.zstaticcdn.com	bak.he-ct-v6.ibsgss.uk		80	sjz-ct-v6.ip.zstaticcdn.com
cdn	6	河北	联通	he-cu-v6.ibsgss.uk	2408:871a:4800:40f::b00:98	80	he-cu-v6.ip.zstaticcdn.com	bak.he-cu-v6.ibsgss.uk		80	sjz-cu-v6.ip.zstaticcdn.com
cdn	6	河北	移动	he-cm-v6.ibsgss.uk	2409:8c04:1003:206:8000:0:b00:84	80	he-cm-v6.ip.zstaticcdn.com	bak.he-cm-v6.ibsgss.uk		80	sjz-cm-v6.ip.zstaticcdn.com
cdn	6	山西	电信	sx-ct-v6.ibsgss.uk	240e:925:2:400:8000:0:b00:99	80	sx-ct-v6.ip.zstaticcdn.com	bak.sx-ct-v6.ibsgss.uk		80	ty-ct-v6.ip.zstaticcdn.com
cdn	6	山西	联通	sx-cu-v6.ibsgss.uk	2408:8726:5400:100:8000:0:b00:87	80	sx-cu-v6.ip.zstaticcdn.com	bak.sx-cu-v6.ibsgss.uk		80	ty-cu-v6.ip.zstaticcdn.com
cdn	6	山西	移动	sx-cm-v6.ibsgss.uk	2409:8c0c:310:2401::b00:79	80	sx-cm-v6.ip.zstaticcdn.com	bak.sx-cm-v6.ibsgss.uk		80	ty-cm-v6.ip.zstaticcdn.com
cdn	6	辽宁	电信	ln-ct-v6.ibsgss.uk	240e:90d:1101:450f:8000:0:b00:4	80	ln-ct-v6.ip.zstaticcdn.com	bak.ln-ct-v6.ibsgss.uk		80	sy-ct-v6.ip.zstaticcdn.com
cdn	6	辽宁	联通	ln-cu-v6.ibsgss.uk	2408:8630:20b0:3:8000:0:b00:228	80	ln-cu-v6.ip.zstaticcdn.com	bak.ln-cu-v6.ibsgss.uk		80	sy-cu-v6.ip.zstaticcdn.com
cdn	6	辽宁	移动	ln-cm-v6.ibsgss.uk	2409:8c15:2812:1000:8000:0:b00:165	80	ln-cm-v6.ip.zstaticcdn.com	bak.ln-cm-v6.ibsgss.uk		80	sy-cm-v6.ip.zstaticcdn.com
cdn	6	吉林	电信	jl-ct-v6.ibsgss.uk	240e:910:e000:201:8000:0:b00:99	80	jl-ct-v6.ip.zstaticcdn.com	bak.jl-ct-v6.ibsgss.uk		80	cc-ct-v6.ip.zstaticcdn.com
cdn	6	吉林	联通	jl-cu-v6.ibsgss.uk	2408:8735:0:c:8000:0:b00:66	80	jl-cu-v6.ip.zstaticcdn.com	bak.jl-cu-v6.ibsgss.uk		80	cc-cu-v6.ip.zstaticcdn.com
cdn	6	吉林	移动	jl-cm-v6.ibsgss.uk	2409:8c18:700:300d:8000:0:b00:71	80	jl-cm-v6.ip.zstaticcdn.com	bak.jl-cm-v6.ibsgss.uk		80	cc-cm-v6.ip.zstaticcdn.com
cdn	6	黑龙江	电信	hl-ct-v6.ibsgss.uk	240e:908:8106:2:8000:0:b00:33	80	hl-ct-v6.ip.zstaticcdn.com	bak.hl-ct-v6.ibsgss.uk		80	hrb-ct-v6.ip.zstaticcdn.com
cdn	6	黑龙江	联通	hl-cu-v6.ibsgss.uk	2408:8738:4000:4::b00:74	80	hl-cu-v6.ip.zstaticcdn.com	bak.hl-cu-v6.ibsgss.uk		80	hrb-cu-v6.ip.zstaticcdn.com
cdn	6	黑龙江	移动	hl-cm-v6.ibsgss.uk	2409:801a:3006:1a:8000:0:b00:90	80	hl-cm-v6.ip.zstaticcdn.com	bak.hl-cm-v6.ibsgss.uk		80	hrb-cm-v6.ip.zstaticcdn.com
cdn	6	江苏	电信	js-ct-v6.ibsgss.uk	240e:978:1226:0:8000:0:b00:84	80	js-ct-v6.ip.zstaticcdn.com	bak.js-ct-v6.ibsgss.uk		80	nj-ct-v6.ip.zstaticcdn.com
cdn	6	江苏	联通	js-cu-v6.ibsgss.uk	2408:873c:6010:5:8000:0:b00:77	80	js-cu-v6.ip.zstaticcdn.com	bak.js-cu-v6.ibsgss.uk		80	nj-cu-v6.ip.zstaticcdn.com
cdn	6	江苏	移动	js-cm-v6.ibsgss.uk	2409:8c20:6ed1:10c:8000:0:b00:138	80	js-cm-v6.ip.zstaticcdn.com	bak.js-cm-v6.ibsgss.uk		80	nj-cm-v6.ip.zstaticcdn.com
cdn	6	浙江	电信	zj-ct-v6.ibsgss.uk	240e:f7:c000:30f:8000:0:b00:216	80	zj-ct-v6.ip.zstaticcdn.com	bak.zj-ct-v6.ibsgss.uk		80	hz-ct-v6.ip.zstaticcdn.com
cdn	6	浙江	联通	zj-cu-v6.ibsgss.uk	2408:873c:6810:5:8000:0:b00:221	80	zj-cu-v6.ip.zstaticcdn.com	bak.zj-cu-v6.ibsgss.uk		80	hz-cu-v6.ip.zstaticcdn.com
cdn	6	浙江	移动	zj-cm-v6.ibsgss.uk	2409:8c28:c05:41:8000:0:b00:62	80	zj-cm-v6.ip.zstaticcdn.com	bak.zj-cm-v6.ibsgss.uk		80	hz-cm-v6.ip.zstaticcdn.com
cdn	6	安徽	电信	ah-ct-v6.ibsgss.uk	240e:958:2300:212:8000:0:b00:96	80	ah-ct-v6.ip.zstaticcdn.com	bak.ah-ct-v6.ibsgss.uk		80	hf-ct-v6.ip.zstaticcdn.com
cdn	6	安徽	联通	ah-cu-v6.ibsgss.uk	2406:8880:0:4:8000:0:b00:93	80	ah-cu-v6.ip.zstaticcdn.com	bak.ah-cu-v6.ibsgss.uk		80	hf-cu-v6.ip.zstaticcdn.com
cdn	6	安徽	移动	ah-cm-v6.ibsgss.uk	2409:8c30:1000:1a01:8000:0:b00:224	80	ah-cm-v6.ip.zstaticcdn.com	bak.ah-cm-v6.ibsgss.uk		80	hf-cm-v6.ip.zstaticcdn.com
cdn	6	福建	电信	fj-ct-v6.ibsgss.uk	240e:d6:6666:25:8000:0:b00:95	80	fj-ct-v6.ip.zstaticcdn.com	bak.fj-ct-v6.ibsgss.uk		80	fz-ct-v6.ip.zstaticcdn.com
cdn	6	福建	联通	fj-cu-v6.ibsgss.uk	2408:8748:a101:218:8000:0:b00:81	80	fj-cu-v6.ip.zstaticcdn.com	bak.fj-cu-v6.ibsgss.uk		80	fz-cu-v6.ip.zstaticcdn.com
cdn	6	福建	移动	fj-cm-v6.ibsgss.uk	2409:8c34:2220:54:8000:0:b00:62	80	fj-cm-v6.ip.zstaticcdn.com	bak.fj-cm-v6.ibsgss.uk		80	fz-cm-v6.ip.zstaticcdn.com
cdn	6	江西	电信	jx-ct-v6.ibsgss.uk	240e:960:3601:1:8000:0:b00:46	80	jx-ct-v6.ip.zstaticcdn.com	bak.jx-ct-v6.ibsgss.uk		80	nc-ct-v6.ip.zstaticcdn.com
cdn	6	江西	联通	jx-cu-v6.ibsgss.uk	2408:874c:1ff:100:8000:0:b00:86	80	jx-cu-v6.ip.zstaticcdn.com	bak.jx-cu-v6.ibsgss.uk		80	nc-cu-v6.ip.zstaticcdn.com
